"partido";"userid";"username";"location";"texto";"coordinates"
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" maior melhor renovação política seria extinção desse partido tenham vergonha ajudam temer acabar";""
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" isso uma piada cia jamais foram em favor do povo esses hipócritas sacrificam os";""
"Rede45";"31864044";"Marcio Kleber Torres";"Vila Velha";" vocês podem começar renovação política expulsando corrupto do partido vão fazer renovação";""
"Rede45";"152371013";"Alexandre Marques";"Rio de Janeiro";" renovar política dar temer mais apoio em um ano do que ele recebeu de em cinco";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" tem que estar fora do jogo";""
"Rede45";"151593418";"Ismael Bazilio";"Manaus";" ilegal torpe cínica tenta promover um condenado fala da atuação do pra salvar te";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" qual renovação irão fechar";""
"Rede45";"31620787";"TD777";"Brasília DF Brasil";" isso mesmo cocaína";""
"Rede45";"60884715";"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";" cuida de teu partido se preocupa com teu candidato deixa homem falar com povo";""
"Rede45";"222593619";"#DiretasJá";"Brasil";" fora golpistas vão disputar no voto entreguistas não passarão";""
"Rede45";"322076828";"Jacildo Bezerra";"Boa Vista";" aliados desses ladrões com ladrões nos seu quadros até sujo com propina difícil";""
"Rede45";"457932806";"Francisco Madaus";"Brasília, Brasil";" voto lula escravocratas vão";""
"Rede45";"4277007856";"Almirsfc";"Santo André, Brasil";" bom promover retorno escravidão no campo não mesmo deputado acha que ninguém";""
"Rede45";"1528591454";"O Padeiro Comunista";"Eritrea";" só falam língua dos empresários mesmo obrigado por estarem mostrando quem servem";""
"Rede45";"59810903";"Emerson";"São Paulo, Brasil";" desde não souberam perder afundaram país na ganância pelo poder bando de cara de pau";""
"Rede45";"724012157734641664";"Celui";"Brasil";" querem foder com os estão empurrando brasil pro mapa da fome de novo partido de ladrões corruptos na";""
"Rede45";"475724631";"everaldo martines";"Tupi Paulista SP Brasil";" ouvir falar em renovação dizer que vai tentar voltar presidir partido um pouco de incoerência ou cara de pau";""
"Rede45";"201877542";"carlos mendes";"br";" com presidente do partido";""
"Rede45";"213876172";"Joao Carlos";"Brazil SP";" pode começar desfiliando seu";""
"Rede45";"137517434";"Fabiano Tenuta";"RJ";" assinem então uma proposta de auto dissolução em consenso de todos os partidos políticos via consulta";""
"Rede45";"885296427374661632";"Rosa Skarlate";"meu primeiro tweet";" em desespero por cuidado que ai no que não sobra um";""
"Rede45";"1528591454";"O Padeiro Comunista";"Eritrea";" chore ou cheire com seu amigo";""
"Rede45";"724012157734641664";"Celui";"Brasil";" de merda de qual estado comprado com certeza cadê prova contra lu";""
"Rede45";"46689831";"Adriana Figueiredo";"Brasil";" condenados são criminosos cúmplices na destruição do país claro sem";""
"Rede45";"50132320";"Tarcísio Holanda";"Fortaleza, Brazil";" lula já ganhou vocês perderam mais uma fora";""
"Rede45";"93830053";"Glaucia Taricano";"Brazil Rio de Janeiro";" isso um fato";""
"Rede45";"818263886310805505";"Daniel Bastos";"Goiânia, Brasil";" existe consenso no nome do ilustríssimo senador quem são falarem de consenso";""
"Rede45";"2379879250";"Jonex Almeida";"Mesquita, Rio de Janeiro";" reforma politica mas opinião do cidadão opinião passa longe dessa reforma";""
"Rede45";"57531053";"Neli";"São Paulo capital";" culpa das próprias mulheres afinal elas quem criam os homem";""
"Rede45";"275333921";"HudsonMartins";"United States";" distribuição de pagamento de contas bem vindo ao mundo";""
"Rede45";"810569171608174592";"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";" parabéns deputado agropecuária tem um representante altura de sua importância";""
"Rede45";"3032405187";"Antonio Carlos";"Sao Paulo, Brazil";" vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz cada chuva raio";""
"PMDB_Nacional";"368414479";"CGBr Mundos Digitais";"Florianópolis, Brasil";" ridícula narrativa acham que alguém ainda cai nessas";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" graças este governo ladrão podre nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" vão tomar no cu vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos";""
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha";" seu pilantra seus dias estão contados com justiça ladrão";""
"PMDB_Nacional";"900825421599703041";"Leonardo Uroz";"Belo Horizonte, Brasil";" vergonha esse partido";""
"PMDB_Nacional";"1640633000";"Silana Disperati";"Rio Brilhante";" suruba suruba";""
"PMDB_Nacional";"830064555992694784";"Jbarros";"Belo Horizonte, Brasil";" refis do simples teremos somente os grandes";""
"PMDB_Nacional";"159200133";"Mauri Pereira";"Brasileiro";" precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";""
"PMDB_Nacional";"3580183701";"cledison novak";"Sapiranga Brasil";" que cegos";""
"PMDB_Nacional";"865241542382030850";"Osmar Avelino";"Rio de Janeiro, Brasil";" parece que não";""
"PMDB_Nacional";"801932520342360065";"Val";"São Paulo, Brasil";" na realidade ela mostra que brasileiro está tentando sobreviver um governo medíocre corrupto";""
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";" são maior organização criminosa do brasil seus bandidos corruptos inúteis";""
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";" são maior organização criminosa do brasil seus bandidos corruptos inúteis sanguessugas do meu";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" querem enganar quem";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" lúcio vem ai única diferença do para primeiro mais generoso";""
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha";" do que adianta se vocês estão querendo acabar com por meio de decreto";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" ou ágora querendo fazer propaganda de bom menino espero que muitos";""
"PMDB_Nacional";"40493348";"Neusa Teixeira";"Brasil São Paulo";" frase do dia melhor definição de fundo eleitoral fundo eleitoral um dinheiro que será roubado";""
"PMDB_Nacional";"62691593";"Thiago";"São Caetano do Sul, SP";" conta do papagaio agora";""
"PMDB_Nacional";"860529640175226880";"Mercar@io";"Nova Iorque, USA";" vai quanto pra quadrilha";""
"PMDB_Nacional";"379317306";"Alois Andrade";"Ouro Preto do Oeste, Rondônia";" quê ridículo governo do";""
"PMDB_Nacional";"795001869928120320";"Paulo De Cerqueira S";"Salvador, Brasil";" verdades enviesadas como gostamos que nos enganem";""
"PMDB_Nacional";"793840709518241792";"Menina de Oya";"Madureira";" só trouxa para acreditar nessa firula privatizado beneficia povo pelo contrário cambada de ratos";""
"PMDB_Nacional";"272167977";"IVO TORRES";"PRAIA DO CARIPI, BARCARENA";" onde está dinheiro prometido para os ribeirinhos atingidos pelo naufrágio do navio na vila do conde";""
"PMDB_Nacional";"69667589";"Marcio Teixeira";"Cascavel Brasil";" não que acha aliás nem eu";""
"PMDB_Nacional";"878291135155892224";"Ben Silva";"Porto Alegre, Brasil";" que beleza quanta grana pra propina não vai rolar nessa privatização parabéns ao";""
"PMDB_Nacional";"702402689162997760";"Euclides";"Caruaru, Brasil";" milhões de desempregados vocês com cara de pau de dizer que estão trabalhando está";""
"PMDB_Nacional";"819239537977282560";"Luiz Daniel Blasius";"Porto Alegre, Brasil";" haja óleo de peroba vocês não ficam nem vermelhos";""
"PMDB_Nacional";"3247066108";"Cássio Freire";"São Paulo, Brasil";" aumento do combustível";""
"PMDB_Nacional";"710903932202180608";"SUSTENTABILIDADE";"Maranhão, Brasil";" seus apoiadores precisam ser varridos da vida pública";""
"PMDB_Nacional";"710903932202180608";"SUSTENTABILIDADE";"Maranhão, Brasil";" governo do seus apoiadores um escárnio";""
"PMDB_Nacional";"114753257";"Manoel Neto";"Rio de Janeiro";" agora conta uma com papagaio";""
"PMDB_Nacional";"3247061111";"Fernandos123";"São Paulo, Brasil";" privatizar pros compadres faltou asterisco";""
"PMDB_Nacional";"894543942078910464";"André Julião";"Recife, Brasil";" não acredito em papai noel";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" que";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" mas nunca teve tem ou terão culhões para isto vagabundos podres";""
"PMDB_Nacional";"210669639";"BISMARQUE AGUIAR";"aguas claras brasilia df";" já era hora";""
"PMDB_Nacional";"887702249983672320";"Rogério";"São Paulo, Brasil";" tão vendendo brasil junto com carcaça";""
"PMDB_Nacional";"1528591454";"O Padeiro Comunista";"Eritrea";" acham isso grande coisa mesmo";""
"PMDB_Nacional";"900127692166754305";"Rosemberg Brito";"Paraty, Brasil";" partido vergonhoso tudo lacraia";""
"PMDB_Nacional";"115634363";"Robson";"Recife";" privatização trará números para erário público mas em compensação perderá sua moeda de barganha";""
"PMDB_Nacional";"1635614479";"José. júnior";"Tocantins, Brasil";" cadê até agora nada de empregos";""
"PMDB_Nacional";"2188777545";"9524";"Rio de Janeiro, Brasil";" vejo desemprego aumentando";""
"PMDB_Nacional";"2188777545";"9524";"Rio de Janeiro, Brasil";" luxo humano são vocês";""
"PMDB_Nacional";"871069804135841793";"Rodrigo Cossich";"Castelo, Belo Horizonte";" patrimônio tem gasolina elétrica de graça que temos arcar com um estado inchado";""
"PMDB_Nacional";"871069804135841793";"Rodrigo Cossich";"Castelo, Belo Horizonte";" que vai sepultar partido união de novo com";""
"PMDB_Nacional";"235232087";"Washington Fonseca";"goiania goias brasil";" há vai tomar no cu você temer";""
"PMDB_Nacional";"698494784885936128";"Sivaldo Brito";"Gogó da ema";" oh se não fosse uma piada já ia pensar que era verdade gozado";""
"PMDB_Nacional";"159200133";"Mauri Pereira";"Brasileiro";" único comércio cresce no governo do venda preço vil do patrimônio do povo";""
"PMDB_Nacional";"889608519539982336";"Lula 2018";"Vila da Prata, Manaus";" querem vender vai perder todos os seus governadores ano que vem nas urnas";""
"PMDB_Nacional";"889608519539982336";"Lula 2018";"Vila da Prata, Manaus";" povo já entendeu isso na eleição do amazonas de ontem candidato do levou uma surra do partido do";""
"PMDB_Nacional";"889608519539982336";"Lula 2018";"Vila da Prata, Manaus";" vender um retrocesso seus golpistas";""
"PMDB_Nacional";"860529640175226880";"Mercar@io";"Nova Iorque, USA";" pai deste ministro está envolvido em vários casos de roubalheira pilantragem";""
"PMDB_Nacional";"860529640175226880";"Mercar@io";"Nova Iorque, USA";" esse partido tem vários ladrões pilantras";""
"PMDB_Nacional";"16691681";"Stelle";"SP BR";" vendendo amazônia pra cobrir de mordomia roubalheira usurpadores presidente enfeite de bruxa";""
"ptbrasil";"35286155";"Nasci em 76";"Não Me Toque, Brasil";" aliás vocês já decidiram que vão fazer com ela sacanagem não estar lá com lula da";""
"ptbrasil";"2239780546";"TG Veritas";"Ribeirão Preto SP";" inflação na meta desemprego em queda atividade econômica em recuperação vice que";""
"ptbrasil";"1190639058";"Fora Mustafá! Câncer";"São Paulo";" improbabilidade reflexo direto dos jumentos que comandam essa organização criminosa";""
"ptbrasil";"373994352";"ARKAITZ";"MIS DOCUMENTOS";" arriba brasil libre soberano porque la historia es los libre";""
"ptbrasil";"31864044";"Marcio Kleber Torres";"Vila Velha";" golpe foi que essa seus companheiros fizeram com brasil ão";""
"ptbrasil";"902567177131319296";"Beatriz França";"Juazeiro do Norte, Brasil";" juazeiro do norte ta cagando pro";""
"ptbrasil";"58146054";"RAIMUNDO MELO";"Brasil";" lula nunca envergonhou sua querida mãe dona hoje em dia esse";""
"ptbrasil";"852160002697695232";"Arte no Vaso";"Não Me Toque, Brasil";" acabaram com estoque de cachaça da cidade";""
"ptbrasil";"791452501501501444";"bocasuja";"Brasil";" tadinha nem sabe que lula roubaram futuro dos netos dela uma pena os";""
"ptbrasil";"901145409694945281";"Rafael Vieira de Sou";"Ubaporanga MG";" ele não presidente um canalha";""
"ptbrasil";"29536585";"Brad Pickler";"Florianópolis, Santa Catarina";" esses votinhos valem ouro";""
"ptbrasil";"32541837";"Diego da Silva Lima";"Osasco SP Brasil";" lula pode ir preso ainda em setembro";""
"ptbrasil";"469696574";"Edmilson Oliveira";"São José dos Campos SP";" lula da silva maior melhor mais honesto presidente da história do";""
"ptbrasil";"806548890266779648";"Neto";"Salvador, Brasil";" são uma piada mesmo tudo isso em vão";""
"ptbrasil";"86648051";"marcos c costa";"Brasil";" do não têm credibilidade muita gente vai sem nem saber pra que";""
"ptbrasil";"852546212";"flavio augusto ";"Brasília, Brasil";" sucateada pera ai mas se ela sucateou não foi por causa do governo temer era só vice";""
"ptbrasil";"852546212";"flavio augusto ";"Brasília, Brasil";" olha só usando programa do fies do governo como se ele tivesse feito você já teve";""
"ptbrasil";"737624404201332736";"Hector Consani";"Brasil";" olha lula sentado lá no meio";""
"ptbrasil";"86648051";"marcos c costa";"Brasil";" desastre maior era permanecer com essa aí";""
"ptbrasil";"2402247984";"GLOBE NEWS WEB";"S O PAULO";" essa senhora falando fim das escolas no brasil";""
"ptbrasil";"852546212";"flavio augusto ";"Brasília, Brasil";" cadê mar de gente nem deve ai pelo que parece estão tudo com fome";""
"ptbrasil";"333687095";"Andre Costa";"fortaleza ceará";" sou cearense quero";""
"ptbrasil";"894399921851437056";"Guiomar Melo";"Recife, Brasil";" lula cidadão nordestino povo atrás";""
"ptbrasil";"371306066";"wander vitor santana";"Santa Luzia MG Brasil";" dessa vez desceu do carro então não chamou povo de pobre fedido não né";""
"ptbrasil";"216443540";"Igor Soares";"Belo Horzionte MG";" que dó enganar velho crime";""
"ptbrasil";"67387478";"Claudemir Fortuna";"Rio Grande do Sul, Brasil";" explorando imagem da nona";""
"ptbrasil";"66456878";"Reinaldo de Freitas";"São Paulo, Brésil";" que foto que foto";""
"ptbrasil";"882778188769894400";"Gabriel";"Florianópolis, Brasil";" parabéns compraram bolinho para essa comemoração";""
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" maior melhor renovação política seria extinção desse partido tenham vergonha ajudam temer acabar";""
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" isso uma piada cia jamais foram em favor do povo esses hipócritas sacrificam os";""
"Rede45";"31864044";"Marcio Kleber Torres";"Vila Velha";" vocês podem começar renovação política expulsando corrupto do partido vão fazer renovação";""
"Rede45";"152371013";"Alexandre Marques";"Rio de Janeiro";" renovar política dar temer mais apoio em um ano do que ele recebeu de em cinco";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" tem que estar fora do jogo";""
"Rede45";"151593418";"Ismael Bazilio";"Manaus";" ilegal torpe cínica tenta promover um condenado fala da atuação do pra salvar te";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" qual renovação irão fechar";""
"Rede45";"31620787";"TD777";"Brasília DF Brasil";" isso mesmo cocaína";""
"Rede45";"60884715";"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";" cuida de teu partido se preocupa com teu candidato deixa homem falar com povo";""
"Rede45";"222593619";"#DiretasJá";"Brasil";" fora golpistas vão disputar no voto entreguistas não passarão";""
"Rede45";"322076828";"Jacildo Bezerra";"Boa Vista";" aliados desses ladrões com ladrões nos seu quadros até sujo com propina difícil";""
"Rede45";"457932806";"Francisco Madaus";"Brasília, Brasil";" voto lula escravocratas vão";""
"Rede45";"4277007856";"Almirsfc";"Santo André, Brasil";" bom promover retorno escravidão no campo não mesmo deputado acha que ninguém";""
